1-UCA01,Outdoor sitting                 ,Non UFA                                      
168,Male Toilet                     ,Non UFA                                      
169,Female Toilet                   ,Non UFA                                      
170,Post Grad Lounge                ,Monash Student Organisations            
171A,Office                          ,Monash Student Organisations            
171B,Office                          ,Monash Student Organisations            
171C,Office                          ,Monash Student Organisations            
172,East lobby,Non UFA                                      
172A,Entry Airlock                   ,Non UFA                                      
172B,Informal sitting,Monash University                       
173,Airport Lounge/Band,Monash University                       
174,Cold Store                      ,Reserved Spaces
175,Dry Store                       ,Reserved Spaces
176,Cleaner                         ,Non UFA                                      
177,Prep Area                       ,Reserved Spaces
178,Tmp Borrow Cup,Reserved Spaces
178A,Dry Store                       ,Reserved Spaces
179,Dishwashing                     ,Reserved Spaces
180,Wholefood Prep                  ,Monash Student Organisations            
181,Wholefood Servery               ,Monash Student Organisations            
182,Food Preparation                ,Reserved Spaces
183,Clr                             ,Non UFA                                      
184,Office                          ,Reserved Spaces
185,Cold Room                       ,Food & Beverage                              
185A,Store                           ,Reserved Spaces
186,Store                           ,Reserved Spaces
186A,Cold Room                       ,Reserved Spaces
187,Store                           ,Reserved Spaces
188,East Banquet                    ,Monash University                       
189,Centre Banquet                  ,Monash University                       
190,West Banquet                    ,Monash University                       
191,Store                           ,Monash Student Organisations            
192,Passages                        ,Non UFA                                      
192A,Store                           ,Monash University                       
193,Male Toilet                     ,Non UFA                                      
194,Female Toilet                   ,Non UFA                                      
195,Accessible Toilet               ,Non UFA                                      
196,Dining room                     ,Monash University                       
196A,Store                           ,Monash University                       
197,Drink servery                   ,Buildings & Property Division           
198,Store                           ,Buildings & Property Division           
199,Grain Express                   ,Reserved Spaces
LF01,Lift 01,Non UFA                                      
LF02,Lift 02,Non UFA                                      
LF03,Lift 03,Non UFA                                      
LF04,Lift 04,Non UFA                                      
PS01,Passage 01                      ,Non UFA                                      
PS02,Passage 02                      ,Non UFA                                      
PS03,Passage03                       ,Non UFA                                      
ST09,Stair 09,Non UFA                                      
ST10,Stair 10,Non UFA                                      
ST11,Stair 11,Non UFA                                      
ST12,Stair 12,Non UFA                                      
ST13,Stair 13,Non UFA                                      
ST14,Stair 14,Non UFA                                      
ST15,Stair 15,Non UFA                                      
ST17,Stair 17,Non UFA                                      
ST19,Stair 19,Non UFA                                      
B01,Fan Room                        ,Non UFA                                      
B02,Pharmacy Store                  ,Retail                                       
B03,Air Chamber                     ,Non UFA                                      
B04,Store                           ,Retail                                       
B05,Metre Room                      ,Non UFA                                      
B06,Gift Shop Store                 ,Retail                                       
B07,Store                           ,Buildings & Property Division           
B08,LMR                             ,Non UFA                                      
B09,Food Store                      ,Buildings & Property Division           
B10,Plant Room                      ,Non UFA                                      
B102,Store                           ,Food & Beverage                              
B103,LMR                             ,Non UFA                                      
B104,Store                           ,Food & Beverage                              
B105,Store                           ,Food & Beverage                              
B106,Coolroom                        ,Food & Beverage                              
B11,Substation/ Switch              ,Non UFA                                      
B12,Store                           ,Buildings & Property Division           
B13,Plant Room                      ,Non UFA                                      
B14,Plant Room                      ,Non UFA                                      
B15,Delivery                        ,Non UFA                                      
B16,Wash Station                    ,Non UFA                                      
B17,Passage                         ,Non UFA                                      
B18,Store                           ,Buildings & Property Division           
B19,Store                           ,Monash Student Organisations            
B20,Store Room                      ,Monash Student Organisations            
B21,Yoga Room                       ,Monash Student Organisations            
B22,Econ and Comm Society             ,Monash Student Organisations            
B23,Music Prac 7                    ,Monash Student Organisations            
B24,Music Prac 6                    ,Monash Student Organisations            
B25,Music Prac 8                    ,Monash Student Organisations            
B25A,Music Prac 9                    ,Monash Student Organisations            
B26,Plant room                      ,Non UFA                                      
B27,Music Prac 5,Monash University                       
B28,Music Prac 3,Monash University                       
B29,Music Prac 4,Monash University                       
B30,Music Prac 1                    ,Monash University                       
B31,Music Prac 2,Monash Student Organisations            
B32,Store                           ,Buildings & Property Division           
B33,Open Computer Lab               ,Monash University                       
B33A,Esport,Monash University                       
B33B,Store,Monash University                       
B34,Rehersal Room                   ,Monash University                       
B34A,Store                           ,Monash University                       
B35,Store                           ,Buildings & Property Division           
B36,LMR                             ,Non UFA                                      
LF01,Lift 01,Non UFA                                      
LF02,Lift 02,Non UFA                                      
LF03,Lift 03,Non UFA                                      
LF04,Lift 04,Non UFA                                      
PS01,Passage 01                      ,Non UFA                                      
PS02,Passage 02                      ,Non UFA                                      
ST12,Stair 12,Non UFA                                      
ST13,Lobby/ Stair 13,Non UFA                                      
ST14,Lobby/ Stair 14,Non UFA                                      
150B,Airlock,Non UFA                                      
G-PS10,Passage                         ,Non UFA                                      
G-TL01,Male Toilet                     ,Non UFA                                      
